ID,deposits,deposit_amount,withdrawals,withdrawal_amount,declines,biggest_deposit,deposit_amount_variance,withdrawal_amount_variance,nightdeposits,activeweeks,activemonths,propnight,intensity,netloss,logdeclines
customer1019,93,2917.59,0,0,0,145.59,829.7386571,0,39,34,11,0.419354839,2.735294118,2917.59,0
customer102,27,630,1,50,0,52.53,222.0769231,0,3,15,7,0.111111111,1.8,580,0
customer1020,77,5197.43,7,600,0,105,1081.204477,3728.571429,46,30,8,0.597402597,2.566666667,4597.43,0
customer1021,224,7936.5,0,0,0,206,539.946255,0,68,50,12,0.303571429,4.48,7936.5,0
customer1022,445,12199.88,4,1221.3,0,105,307.0437595,19793.8225,138,39,11,0.31011236,11.41025641,10978.58,0
customer1023,124,7448.86,0,0,0,260,740.2993475,0,26,41,12,0.209677419,3.024390244,7448.86,0
customer1024,35,10984.58,0,0,0,721,26662.58943,0,9,21,9,0.257142857,1.666666667,10984.58,0
customer1025,74,804.01,4,80,0,24.72,34.77577329,0,16,32,9,0.216216216,2.3125,724.01,0
customer1026,9,2699.55,0,0,0,500,20713.335,0,6,8,7,0.666666667,1.125,2699.55,0
customer1027,6,663.6,9,1217.45,0,566.5,46349.04,48619.71694,0,4,2,0,1.5,-553.85,0
customer1028,17,346.35,0,0,0,46.34,89.02816176,0,3,11,3,0.176470588,1.545454545,346.35,0
customer1029,101,2727.5,0,0,0,61.79,221.1109172,0,53,23,7,0.524752475,4.391304348,2727.5,0
customer103,102,2337.32,36,927.29,0,100,441.4409658,540.1375304,29,29,9,0.284313725,3.517241379,1410.03,0
customer1030,205,5440.24,0,0,0,103,277.2495322,0,71,40,12,0.346341463,5.125,5440.24,0
customer1031,24,6701.81,0,0,0,1100,64247.31847,0,13,16,7,0.541666667,1.5,6701.81,0
customer1032,38,1062.73,0,0,0,140,646.3003204,0,11,21,10,0.289473684,1.80952381,1062.73,0
customer1033,99,14756.97,0,0,0,1030,28113.30863,0,32,33,12,0.323232323,3,14756.97,0
customer1034,91,1480,0,0,0,66.95,67.55189255,0,53,17,4,0.582417582,5.352941176,1480,0
customer1035,155,4650.55,67,1170.28,0,1199.94,8113.77483,1049.726934,51,19,5,0.329032258,8.157894737,3480.27,0
customer1036,39,5759,0,0,0,515,11875.75439,0,14,14,4,0.358974359,2.785714286,5759,0
customer1037,112,2867.99,0,0,0,226.6,762.4362264,0,21,30,10,0.1875,3.733333333,2867.99,0
customer1038,47,1453.05,0,0,0,103,519.0459724,0,4,32,10,0.085106383,1.46875,1453.05,0
customer1039,61,2209.31,0,0,0,248,1748.118545,0,24,22,7,0.393442623,2.772727273,2209.31,0
customer104,450,44717.23,0,0,22,1210,14997.0529,0,162,36,9,0.36,12.5,44717.23,3.135494216
customer1040,79,9374.08,0,0,0,206,3120.920866,0,15,35,11,0.189873418,2.257142857,9374.08,0
customer1041,26,8953.15,0,0,0,1030,57331.72447,0,13,16,9,0.5,1.625,8953.15,0
customer1042,33,6821.5,8,488,0,391.4,8034.828598,425.1428571,8,13,4,0.242424242,2.538461538,6333.5,0
customer1043,79,5208.54,15,4350.19,0,100,4262.750918,46299.04835,35,8,2,0.443037975,9.875,858.35,0
customer1044,56,1087.28,10,415.74,0,329.6,118.1972104,2714.53016,26,11,3,0.464285714,5.090909091,671.54,0
customer1045,76,1590.02,82,993.28,0,123.59,1009.930732,161.960975,26,16,4,0.342105263,4.75,596.74,0
customer1046,18,339,153,1135,0,0,169.4411765,85.56071551,5,10,7,0.277777778,1.8,-796,0
customer1047,12,338,9,112.46,0,51.5,256.1515152,1277.309478,0,11,4,0,1.090909091,225.54,0
customer1048,25,7654,0,0,0,618,21050.05667,0,6,16,5,0.24,1.5625,7654,0
customer1049,42,2936,0,0,0,247.19,1435.015099,0,16,14,4,0.380952381,3,2936,0
customer105,1,100,0,0,0,103,0,0,0,1,1,0,1,100,0
customer1050,43,1982.22,1,300,0,245,3243.188839,0,16,25,10,0.372093023,1.72,1682.22,0
customer1051,41,5305,0,0,0,412,6340.243902,0,19,23,7,0.463414634,1.782608696,5305,0
customer1052,187,69541.96,39,43040.59,6,2000,137121.5413,808841.4616,42,36,11,0.22459893,5.194444444,26501.37,1.945910149
customer1053,61,4556.93,0,0,0,300,2178.568634,0,17,22,7,0.278688525,2.772727273,4556.93,0
customer1054,4,122.2,1,1,0,41.2,388.41,0,1,3,1,0.25,1.333333333,121.2,0
customer1055,141,9292,0,0,0,224.54,1740.275785,0,51,16,4,0.361702128,8.8125,9292,0
customer1056,17,592.44,0,0,0,75,250.5029309,0,3,7,4,0.176470588,2.428571429,592.44,0
customer1057,6,207,0,0,0,58.71,281.5,0,2,6,4,0.333333333,1,207,0
customer1058,61,2410.65,0,0,0,104,335.024857,0,4,27,8,0.06557377,2.259259259,2410.65,0
customer1059,84,664.74,2,210,0,20.6,16.90380878,4050,21,12,4,0.25,7,454.74,0
customer106,464,33539.85,0,0,0,566.5,4059.372346,0,222,52,12,0.478448276,8.923076923,33539.85,0
customer1060,92,24573.94,1,500,0,1450,65220.37294,0,27,29,8,0.293478261,3.172413793,24073.94,0
customer1061,52,17472.9,0,0,0,1400,61532.30036,0,20,24,8,0.384615385,2.166666667,17472.9,0
customer1062,15,357,1,90.53,0,30.89,80.88571429,0,5,8,4,0.333333333,1.875,266.47,0
customer1063,37,2958,23,1881.95,0,530,20041.55422,15286.25952,8,16,9,0.216216216,2.3125,1076.05,0
customer1064,190,4792.31,0,0,0,412,1935.210248,0,69,44,12,0.363157895,4.318181818,4792.31,0
customer1065,37,238,0,0,0,10.3,9.03003003,0,16,10,3,0.432432432,3.7,238,0
customer1066,50,870.73,0,0,0,139.05,816.1535519,0,15,24,8,0.3,2.083333333,870.73,0
customer1067,37,21398.06,0,0,38,1030,161096.9281,0,10,18,7,0.27027027,2.055555556,21398.06,3.663561646
customer1068,24,18039.57,0,0,1,1854,102794.0968,0,12,14,8,0.5,1.714285714,18039.57,0.693147181
customer1069,83,2438.45,0,0,0,130,159.9092073,0,29,37,12,0.34939759,2.243243243,2438.45,0
customer107,473,43561.81,1,103,53,1030,16324.66145,0,167,46,12,0.353065539,10.2826087,43458.81,3.988984047
customer1070,160,6200.05,0,0,0,103.09,908.4850735,0,65,44,12,0.40625,3.636363636,6200.05,0
customer1071,71,11960.09,2,725,0,1360,49404.5924,25312.5,41,25,11,0.577464789,2.84,11235.09,0
customer1072,12,204,5,154,0,154.5,285.0909091,196.7,5,8,3,0.416666667,1.5,50,0
customer1073,20,371.85,0,0,0,50,82.55838816,0,3,13,5,0.15,1.538461538,371.85,0
customer1074,51,1711.2,6,137.84,0,123.59,486.0649412,150.0330667,25,16,4,0.490196078,3.1875,1573.36,0
customer1075,92,3731,0,0,0,431.57,2454.689322,0,41,18,4,0.445652174,5.111111111,3731,0
customer1076,28,4430.82,1,97,0,489.25,10583.03108,0,12,20,8,0.428571429,1.4,4333.82,0
customer1077,126,19855.26,22,5748,3,1000,28314.78423,43962.9697,41,32,10,0.325396825,3.9375,14107.26,1.386294361
customer1078,75,2081.14,1,17,0,128.75,264.2731046,0,37,34,11,0.493333333,2.205882353,2064.14,0
customer1079,116,3622.61,0,0,0,207,931.5173883,0,59,39,12,0.50862069,2.974358974,3622.61,0
customer108,37,1105.2,0,0,0,56.65,118.2449249,0,10,14,4,0.27027027,2.642857143,1105.2,0
customer1080,343,4877.5,0,0,0,82.4,82.6195649,0,43,52,12,0.125364431,6.596153846,4877.5,0
customer1081,65,3028.73,11,1133.21,0,226.6,1814.027328,4032.106009,22,12,3,0.338461538,5.416666667,1895.52,0
customer1082,48,3332.63,0,0,0,606.66,10745.2707,0,18,24,9,0.375,2,3332.63,0
customer1083,43,1918.26,0,0,0,77.25,175.1687971,0,4,28,8,0.093023256,1.535714286,1918.26,0
customer1084,16,4493.15,0,0,0,309,1485.353656,0,3,13,10,0.1875,1.230769231,4493.15,0
customer1085,7,1165.98,0,0,0,257.5,6754.983181,0,3,7,6,0.428571429,1,1165.98,0
customer1086,13,1035,0,0,0,206,1976.923077,0,7,7,4,0.538461538,1.857142857,1035,0
customer1087,2,51.5,0,0,0,51.5,1176.125,0,1,1,1,0.5,2,51.5,0
customer1088,7,65.97,0,0,0,10.3,2.320128571,0,2,6,4,0.285714286,1.166666667,65.97,0
customer1089,258,1502.31,0,0,0,103,92.78093121,0,97,46,12,0.375968992,5.608695652,1502.31,0
customer109,61,2412,0,0,0,206,1309.885792,0,22,15,4,0.360655738,4.066666667,2412,0
customer1090,55,2652.96,0,0,0,108.15,503.7525584,0,16,14,5,0.290909091,3.928571429,2652.96,0
customer1091,98,19188,0,0,0,1030,17939.73112,0,44,32,10,0.448979592,3.0625,19188,0
customer1092,86,57626.95,0,0,49,2060,135056.2431,0,51,31,10,0.593023256,2.774193548,57626.95,3.912023005
customer1093,26,632.9,6,175.26,0,100.8,465.2194425,578.57104,13,17,8,0.5,1.529411765,457.64,0
customer1094,28,289,0,0,0,40,67.48544974,0,5,11,3,0.178571429,2.545454545,289,0
customer1095,45,1847.26,0,0,0,499.54,5220.735561,0,7,22,7,0.155555556,2.045454545,1847.26,0
customer1096,28,1588.73,1,180,0,103,269.7965517,0,4,21,8,0.142857143,1.333333333,1408.73,0
customer1097,9,2361.42,1,399,0,1000,83167.9397,0,1,7,5,0.111111111,1.285714286,1962.42,0
customer1098,61,1697.45,0,0,0,123.59,745.8824845,0,17,32,11,0.278688525,1.90625,1697.45,0
customer1099,59,2610.47,6,398,0,133.9,708.3194943,1042.666667,34,30,12,0.576271186,1.966666667,2212.47,0
customer11,138,6563.31,0,0,0,220,1793.988342,0,20,34,8,0.144927536,4.058823529,6563.31,0
customer110,49,785,2,23,0,30.89,61.93707483,144.5,18,10,4,0.367346939,4.9,762,0
customer1100,45,2876.93,0,0,0,500,7034.384019,0,8,16,7,0.177777778,2.8125,2876.93,0
customer1101,142,10131.48,0,0,0,257.5,1727.338069,0,49,33,8,0.345070423,4.303030303,10131.48,0
customer1102,35,439.6,0,0,0,20.6,24.34070588,0,19,12,3,0.542857143,2.916666667,439.6,0
customer1103,4,963.44,1,71,0,400,48550.0288,0,1,2,1,0.25,2,892.44,0
customer1104,65,3575.68,17,3308.39,0,1081.5,1079.924489,67207.5974,22,28,9,0.338461538,2.321428571,267.29,0
customer1105,147,6778.88,56,5326.58,0,400,2268.014417,7581.258354,64,27,8,0.43537415,5.444444444,1452.3,0
customer1106,70,87973.13,46,87919.05,0,0,423898.5308,2895104.976,10,22,8,0.142857143,3.181818182,54.08,0
customer1107,149,5052.31,1,5,0,150,712.7496397,0,54,36,10,0.362416107,4.138888889,5047.31,0
customer1108,16,322.5,1,10,0,51.5,181.1239583,0,8,8,5,0.5,2,312.5,0
customer1109,44,2479,0,0,0,226.6,1750.276427,0,14,15,4,0.318181818,2.933333333,2479,0
customer111,64,15649.05,1,61.91,1,2060,125977.8723,0,36,29,11,0.5625,2.206896552,15587.14,0.693147181
customer1110,17,620.9,5,250,0,51.5,177.2719118,0,6,9,5,0.352941176,1.888888889,370.9,0
customer1111,60,2457.96,0,0,0,226.6,1229.242597,0,30,33,11,0.5,1.818181818,2457.96,0
customer1112,59,4556,2,14,0,310,3291.2782,0,20,23,8,0.338983051,2.565217391,4542,0
customer1113,204,16534.07,76,10333.3,8,760,12748.86614,55041.00267,95,48,12,0.465686275,4.25,6200.77,2.197224577
customer1114,59,23810.09,5,253.17,0,1133,99658.45017,11935.22043,17,21,6,0.288135593,2.80952381,23556.92,0
customer1115,61,499,0,0,0,25.75,20.61693989,0,31,16,4,0.508196721,3.8125,499,0
customer1116,76,8936.17,1,10,0,400,10232.98312,0,31,36,12,0.407894737,2.111111111,8926.17,0
customer1117,10,1076.65,2,40,0,236.89,5537.92225,200,4,4,2,0.4,2.5,1036.65,0
customer1118,100,2948.81,26,2138.86,0,180.25,643.5310741,6117.500009,47,16,4,0.47,6.25,809.95,0
customer1119,77,38247.44,0,0,60,1030,45806.91101,0,46,22,9,0.597402597,3.5,38247.44,4.110873864
customer112,765,9380.08,0,0,0,206,246.5812275,0,280,52,12,0.366013072,14.71153846,9380.08,0
customer1120,13,232.53,3,117.59,0,51.5,143.4636231,2777.646033,1,10,6,0.076923077,1.3,114.94,0
customer1121,1,40,0,0,0,41.2,0,0,0,1,1,0,1,40,0
customer1122,72,5171.86,0,0,0,309,4729.92135,0,28,24,7,0.388888889,3,5171.86,0
customer1123,31,1412.85,8,1304,0,309,2002.683978,6456.571429,10,15,6,0.322580645,2.066666667,108.85,0
customer1124,101,11166.07,35,1059,0,370.79,4930.986377,318.0201681,25,15,4,0.247524752,6.733333333,10107.07,0
customer1125,5,625.99,0,0,0,300,11106.89852,0,2,5,5,0.4,1,625.99,0
customer1126,24,3091,0,0,0,412,7397.041667,0,7,18,9,0.291666667,1.333333333,3091,0
customer1127,277,19975.82,0,0,0,275,1277.47206,0,110,47,12,0.397111913,5.893617021,19975.82,0
customer1128,29,1235.46,15,1020.46,0,108.15,600.7122313,950.3700352,7,9,4,0.24137931,3.222222222,215,0
customer1129,4,43,4,21,0,20.6,44.91666667,22.25,1,4,2,0.25,1,22,0
customer113,107,1685,0,0,0,100,195.9828954,0,40,32,8,0.373831776,3.34375,1685,0
customer1130,35,10839.97,0,0,0,700,29761.78839,0,9,15,8,0.257142857,2.333333333,10839.97,0
customer1131,90,5328,0,0,0,103,814.6786517,0,40,18,4,0.444444444,5,5328,0
customer1132,36,10620.5,1,50,3,1545,67857.57837,0,10,11,3,0.277777778,3.272727273,10570.5,1.386294361
customer1133,75,3816,12,2989.81,0,360.5,6197.025946,53441.55054,25,16,4,0.333333333,4.6875,826.19,0
customer1134,247,8982.46,70,3984.34,0,300,2446.796901,5709.732875,85,31,8,0.344129555,7.967741935,4998.12,0
customer1135,134,42469.5,0,0,5,669.5,31630.13316,0,44,30,7,0.328358209,4.466666667,42469.5,1.791759469
customer1136,2,400,0,0,0,309,20000,0,0,2,2,0,1,400,0
customer1137,4,342.4,0,0,0,103,93.44,0,2,4,4,0.5,1,342.4,0
customer1138,59,1203.71,53,1166.31,0,309,1788.163802,656.3131786,16,18,6,0.271186441,3.277777778,37.4,0
customer1139,48,38764.6,0,0,1,2000,103783.8256,0,22,28,12,0.458333333,1.714285714,38764.6,0.693147181
customer114,53,1422.61,0,0,0,300,1778.820326,0,20,22,9,0.377358491,2.409090909,1422.61,0
customer1140,22,255.6,1,35,0,30.89,65.13108225,0,6,18,7,0.272727273,1.222222222,220.6,0
customer1141,240,17204.81,0,0,0,618,6303.578897,0,116,52,12,0.483333333,4.615384615,17204.81,0
customer1142,27,1770,0,0,0,162.74,1176.871795,0,13,11,4,0.481481481,2.454545455,1770,0
customer1143,45,6473,0,0,0,206,4519.770707,0,17,19,6,0.377777778,2.368421053,6473,0
customer1144,81,436.59,0,0,0,20,10.2705575,0,24,16,4,0.296296296,5.0625,436.59,0
customer1145,72,2144.76,0,0,0,104,328.9631493,0,9,23,7,0.125,3.130434783,2144.76,0
customer1146,159,1750.74,0,0,0,60,83.14679341,0,66,35,8,0.41509434,4.542857143,1750.74,0
customer1147,22,2959.25,1,400,0,515,13326.75284,0,7,12,4,0.318181818,1.833333333,2559.25,0
customer1148,133,1176.7,0,0,0,49.44,69.59790287,0,41,30,8,0.308270677,4.433333333,1176.7,0
customer1149,109,1726.11,8,403,0,51.5,201.9877689,1283.982143,52,29,8,0.47706422,3.75862069,1323.11,0
customer115,146,10864.61,4,1365.83,0,550,8029.760335,51576.12949,45,32,8,0.308219178,4.5625,9498.78,0
customer1150,17,1936,0,0,0,206,3244.360294,0,2,8,4,0.117647059,2.125,1936,0
customer1151,54,3087.72,2,1050,0,185.39,15298.43252,281250,15,17,7,0.277777778,3.176470588,2037.72,0
customer1152,92,2645.85,22,2359.38,0,412,466.8743236,5806.173645,36,20,6,0.391304348,4.6,286.47,0
customer1153,22,4414.31,0,0,0,310,5684.573719,0,7,13,6,0.318181818,1.692307692,4414.31,0
customer1154,47,8185.48,7,2046.98,0,309,27241.76826,48699.62196,7,20,7,0.14893617,2.35,6138.5,0
customer1155,123,1181.45,0,0,0,30.89,35.64756119,0,31,45,12,0.25203252,2.733333333,1181.45,0
customer1156,15,1465.22,4,595,0,190,1781.661798,21372.91667,9,10,5,0.6,1.5,870.22,0
customer1157,12,1132,0,0,0,159.64,1645.878788,0,7,11,8,0.583333333,1.090909091,1132,0
customer1158,27,3995.96,203,17765.5,0,0,93019.3416,5887.885495,8,18,9,0.296296296,1.5,-13769.54,0
customer1159,20,364.01,0,0,0,25.75,30.57663658,0,2,15,7,0.1,1.333333333,364.01,0
customer116,42,16080.08,3,1260,7,2060,138934.8609,10000,18,15,6,0.428571429,2.8,14820.08,2.079441542
customer1160,86,702.25,0,0,0,26,36.08970715,0,1,29,8,0.011627907,2.965517241,702.25,0
customer1161,75,16472,0,0,0,1545,80909.58847,0,27,20,6,0.36,3.75,16472,0
customer1162,7,742.5,0,0,0,154.5,383.0357143,0,4,4,2,0.571428571,1.75,742.5,0
customer1163,34,2835,1,305,0,206,4198.122103,0,10,14,4,0.294117647,2.428571429,2530,0
customer1164,129,1736.15,0,0,0,103,195.3026611,0,46,20,5,0.356589147,6.45,1736.15,0
customer1165,85,37714.76,10,17750.76,172,1030,309407.0738,2755992.502,12,15,4,0.141176471,5.666666667,19964,5.153291594
customer1166,28,238.15,0,0,0,66.95,144.6656184,0,10,4,1,0.357142857,7,238.15,0
customer1167,59,4709.92,28,1945.91,1,1030,9513.656398,5593.875756,21,20,8,0.355932203,2.95,2764.01,0.693147181
customer1168,1,200,0,0,0,257.5,0,0,1,1,1,1,1,200,0
customer1169,74,1712.86,0,0,0,160,674.2339154,0,18,23,9,0.243243243,3.217391304,1712.86,0
customer117,42,5471.5,0,0,0,1030,35031.9293,0,26,20,6,0.619047619,2.1,5471.5,0
customer1170,133,2273.96,4,826.02,0,128.75,822.8978071,15156.99343,44,19,5,0.330827068,7,1447.94,0
customer1171,68,1502.26,37,1842.99,0,42.23,179.4746644,1377.829233,31,15,4,0.455882353,4.533333333,-340.73,0
customer1172,36,1289.97,29,717.26,0,123.59,679.4443107,270.5257793,8,14,4,0.222222222,2.571428571,572.71,0
customer1173,37,10480,0,0,0,1030,26923.91141,0,20,12,4,0.540540541,3.083333333,10480,0
customer1174,22,2788.15,0,0,0,200,2047.057216,0,11,13,6,0.5,1.692307692,2788.15,0
customer1175,82,5434.34,0,0,0,360,3231.385601,0,18,25,8,0.219512195,3.28,5434.34,0
customer1176,73,1485.68,1,500,0,515,3583.809573,0,26,37,11,0.356164384,1.972972973,985.68,0
customer1177,102,39409.99,9,9963,0,2060,141312.8699,539775,33,39,12,0.323529412,2.615384615,29446.99,0
customer1178,12,614.08,0,0,0,103,1061.477533,0,2,9,5,0.166666667,1.333333333,614.08,0
customer1179,202,47263.49,308,50915.31,0,700,84687.47226,31719.85984,73,28,7,0.361386139,7.214285714,-3651.82,0
customer118,41,1229.6,43,1448.04,0,123,690.8527524,2698.268311,12,4,1,0.292682927,10.25,-218.44,0
customer1180,93,1122.61,0,0,0,103,225.0329358,0,16,25,8,0.172043011,3.72,1122.61,0
customer1181,36,2197.67,0,0,0,207,2166.250132,0,11,25,9,0.305555556,1.44,2197.67,0
customer1182,143,11900.97,141,8501.13,0,500,8440.163581,4564.265027,37,42,12,0.258741259,3.404761905,3399.84,0
customer1183,13,3729.72,0,0,0,500,10912.34498,0,5,10,5,0.384615385,1.3,3729.72,0
customer1184,32,11935.84,4,638.6,0,1030,92157.16736,2176.83,17,21,8,0.53125,1.523809524,11297.24,0
customer1185,41,3293.35,10,241.02,0,309,2748.186015,416.5456622,17,17,6,0.414634146,2.411764706,3052.33,0
customer1186,16,870.26,19,959.95,0,206,1711.509585,1817.364836,8,10,4,0.5,1.6,-89.69,0
customer1187,131,12171.28,0,0,0,566.5,9921.542468,0,61,37,12,0.465648855,3.540540541,12171.28,0
customer1188,18,461.53,0,0,0,32,21.48297026,0,2,8,3,0.111111111,2.25,461.53,0
customer1189,43,13493,0,0,0,463.5,3254.45515,0,10,32,12,0.23255814,1.34375,13493,0
customer119,480,29333.28,8,2520,1,412,3305.503358,68085.71429,250,33,9,0.520833333,14.54545455,26813.28,0.693147181
customer1190,98,5836.85,0,0,0,370.79,3596.980356,0,30,34,8,0.306122449,2.882352941,5836.85,0
customer1191,94,2292.25,20,983.67,0,103,408.3410399,2688.640066,37,11,3,0.393617021,8.545454545,1308.58,0
customer1192,83,1567.5,45,1017.55,0,51.5,157.228347,355.5500359,23,16,5,0.277108434,5.1875,549.95,0
customer1193,92,2437.3,0,0,0,103,462.130192,0,11,39,11,0.119565217,2.358974359,2437.3,0
customer1194,49,2157,0,0,0,154.5,784.7287415,0,12,13,4,0.244897959,3.769230769,2157,0
customer1195,39,986.2,0,0,0,103,761.2164103,0,13,12,4,0.333333333,3.25,986.2,0
customer1196,80,2219.15,0,0,0,154.5,944.2112464,0,44,18,4,0.55,4.444444444,2219.15,0
customer1197,49,4920.35,0,0,0,618,25473.23898,0,12,15,4,0.244897959,3.266666667,4920.35,0
customer1198,49,2121.6,0,0,0,206,1107.216871,0,18,14,5,0.367346939,3.5,2121.6,0
customer1199,56,2016.73,0,0,0,432.6,2948.316334,0,29,28,9,0.517857143,2,2016.73,0
customer12,9,248.72,4,595.85,0,51.55,226.7465028,63372.13896,1,8,5,0.111111111,1.125,-347.13,0
customer120,98,30354.36,0,0,5,1000.13,31983.4364,0,44,30,8,0.448979592,3.266666667,30354.36,1.791759469
customer1200,3,80,0,0,0,41.2,133.3333333,0,1,2,2,0.333333333,1.5,80,0
customer1201,342,9555.07,2,37,0,309,1403.050509,60.5,66,51,12,0.192982456,6.705882353,9518.07,0
customer1202,2,206,0,0,0,206,18818,0,2,1,1,1,2,206,0
customer1203,137,2394.1,0,0,3,257.5,544.6206443,0,52,18,8,0.379562044,7.611111111,2394.1,1.386294361
customer1204,27,3153.54,0,0,0,250,2714.743703,0,8,19,9,0.296296296,1.421052632,3153.54,0
customer1205,40,610.86,0,0,0,106,467.2233618,0,11,22,7,0.275,1.818181818,610.86,0
customer1206,68,6952.65,13,2081.56,0,1030,17681.72412,44970.76762,15,7,2,0.220588235,9.714285714,4871.09,0
customer1207,35,3469.25,1,19.25,0,1699.5,120963.0455,0,13,13,4,0.371428571,2.692307692,3450,0
customer1208,138,15918.19,0,0,6,500,9280.420037,0,41,19,8,0.297101449,7.263157895,15918.19,1.945910149
customer1209,32,3919.91,0,0,0,300,2453.973537,0,11,18,10,0.34375,1.777777778,3919.91,0
customer121,300,44483.73,0,0,9,1000,19135.75834,0,107,52,12,0.356666667,5.769230769,44483.73,2.302585093
customer1210,37,9359.84,0,0,0,475,7760.80539,0,19,21,9,0.513513514,1.761904762,9359.84,0
customer1211,38,2366.8,0,0,0,206,2172.810014,0,13,17,5,0.342105263,2.235294118,2366.8,0
customer1212,116,50125.9,0,0,60,2060,63419.84851,0,70,30,10,0.603448276,3.866666667,50125.9,4.110873864
customer1213,139,9251.12,0,0,0,1998.19,28029.09108,0,53,36,11,0.381294964,3.861111111,9251.12,0
customer1214,219,8645.26,212,5107.36,2,500,3982.327673,600.3155907,80,31,10,0.365296804,7.064516129,3537.9,1.098612289
customer1215,23,430.49,8,402.98,0,100,242.6170494,5375.659536,0,17,7,0,1.352941176,27.51,0
customer1216,71,55849.52,0,0,15,1030,64697.5611,0,21,31,8,0.295774648,2.290322581,55849.52,2.772588722
customer1217,22,14066,1,100,3,1545,196587.9567,0,5,10,3,0.227272727,2.2,13966,1.386294361
customer1218,45,883.7,13,260,0,41.2,19.23149495,0,16,24,8,0.355555556,1.875,623.7,0
customer1219,13,8896.1,0,0,0,1442,84948.95933,0,6,9,4,0.461538462,1.444444444,8896.1,0
customer122,7,396,0,0,0,103,442.2857143,0,2,6,5,0.285714286,1.166666667,396,0
customer1220,72,5354.67,0,0,0,550,8940.74768,0,27,26,7,0.375,2.769230769,5354.67,0
customer1221,82,7211.31,78,4653.81,0,154.5,19686.44218,1802.922799,26,26,9,0.317073171,3.153846154,2557.5,0
customer1222,128,804.12,0,0,0,180.25,251.8020613,0,26,36,11,0.203125,3.555555556,804.12,0
customer1223,7,190.44,0,0,0,33,17.30929524,0,0,6,2,0,1.166666667,190.44,0
customer1224,7,215.3,0,0,0,77.25,571.1795238,0,2,7,3,0.285714286,1,215.3,0
customer1225,60,7341.17,0,0,0,504.7,10863.08465,0,24,34,11,0.4,1.764705882,7341.17,0
customer1226,167,33068.98,1,58.18,24,515,22809.4259,0,64,35,9,0.383233533,4.771428571,33010.8,3.218875825
customer1227,71,6648.42,0,0,0,350,4903.211563,0,25,8,2,0.352112676,8.875,6648.42,0
customer1228,14,1675.99,1,720.99,0,206,34177.91012,0,4,9,4,0.285714286,1.555555556,955,0
customer1229,36,4406.88,0,0,0,257.5,1825.632817,0,6,21,9,0.166666667,1.714285714,4406.88,0
customer123,432,14418.81,0,0,0,228.66,606.9635932,0,160,49,12,0.37037037,8.816326531,14418.81,0
customer1230,35,792.57,14,384,0,99.9,465.6670787,1472.571429,13,11,3,0.371428571,3.181818182,408.57,0
